Időbélyeg;Pontszám;"1.	Állapotgépen tetszőleges állapot-, token- vagy őrfeltétel-finomítást végezve…";"2.	Egy állapotgép biztosan teljesen specifikált, ha…";"3.	Legyen S egy állapottér, és S' egy tetszőleges állapothalmaz. Ekkor…";"4.	Ha az egyik állapotrégió 5 állapotot és 10 átmenetet, a másik régió 6 állapotot és 16 átmene-tet tartalmaz, akkor az aszinkron szorzatukként számolt állapotgép további finomítás híján…";"1.	Az alábbi állítások közül melyek elégséges feltételei egy folyamat jólstrukturáltságának?";"6.	A C programok vezérlési folyamában…";"7.	Mi lehet a strukturális modellezés célja? ";"8.	Mely állítások igazak az alábbiak közül?";"9.	Mely állítások igazak az alábbiak közül?"
5.17.2017 10:14:08;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;a) …S \ S' biztosan kizárólagos;a) … pontosan 140 átmenetet tartalmaz.;;a) …minden while blokknak egy ciklus felel meg.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 10:21:10;0;;;;;;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 10:22:11;0;d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;a) …egy teljesen specifikált állapotgép finomítása egy állapot kettéválasztásával.;;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus.;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;;;
5.17.2017 10:25:50;0;d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával., a) …egy teljesen specifikált állapotgép finomítása egy állapot kettéválasztásával.;a) …S \ S' biztosan kizárólagos;;;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;c) Szűrés során a jellemzett objektumok száma nem változhat., d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 10:28:48;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete.;b) …S \ S' biztosan teljes;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus.;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 10:31:27;0;d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;a) …S \ S' biztosan kizárólagos;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus.;a) …minden while blokknak egy ciklus felel meg., b) …minden if blokknak egy fork-join pár felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 10:40:28;0;a) …mindig nő az állapotok száma., d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával., a) …egy teljesen specifikált állapotgép finomítása egy állapot kettéválasztásával.;;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus.;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 10:41:02;0;;b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel.;;a) … pontosan 140 átmenetet tartalmaz.;;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;c) Szűrés során a jellemzett objektumok száma nem változhat., d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 10:41:29;0;;;;;;;;;
5.17.2017 10:51:23;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben., d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete.;;a) … pontosan 140 átmenetet tartalmaz.;;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 10:52:32;0;;;;;;;;;
5.17.2017 10:52:41;0;;;;;;;;;
5.17.2017 10:56:42;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;a) …S \ S' biztosan kizárólagos;a) … pontosan 140 átmenetet tartalmaz.;;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:07:48;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben.;b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel.;b) …S \ S' biztosan teljes;;b) A folyamat nem tartalmaz elágazást.;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:07:48;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben.;b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel.;b) …S \ S' biztosan teljes;;b) A folyamat nem tartalmaz elágazást.;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;a) A rendszer működésének időbeli vizsgálata., b) A rendszer kisebb részekre bontása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:17:50;0;a) …mindig nő az állapotok száma., d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete., b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel.;b) …S \ S' biztosan teljes;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus.;b) …minden if blokknak egy fork-join pár felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Egy hierarchiát ábrázoló gráfban lehet kör., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;a) Szűrés során a táblázat jellemzőinek száma mindig csökken., d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:25:25;0;;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete., b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel.;;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus.;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:25:53;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;a) …S \ S' biztosan kizárólagos;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus., b) A folyamat nem tartalmaz elágazást., c) A folyamat nem tartalmaz ciklust., d) A folyamat nem tartalmaz fork-join párt.;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:31:24;0;d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete.;a) …S \ S' biztosan kizárólagos;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus.;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., a) Egy hierarchiát ábrázoló gráfban lehet kör., c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:32:51;0;d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;;a) … pontosan 140 átmenetet tartalmaz.;b) A folyamat nem tartalmaz elágazást.;a) …minden while blokknak egy ciklus felel meg.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:34:22;0;;a) …egy teljesen specifikált állapotgép finomítása egy állapot kettéválasztásával.;;a) … pontosan 140 átmenetet tartalmaz.;;a) …minden while blokknak egy ciklus felel meg., b) …minden if blokknak egy fork-join pár felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:47:38;0;d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus., d) A folyamat nem tartalmaz fork-join párt.;a) …minden while blokknak egy ciklus felel meg.;d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:50:37;0;b) …mindig csökken az állapotok száma.;b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel.;;a) … pontosan 140 átmenetet tartalmaz.;b) A folyamat nem tartalmaz elágazást.;a) …minden while blokknak egy ciklus felel meg.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;a) Szűrés során a táblázat jellemzőinek száma mindig csökken., c) Szűrés során a jellemzett objektumok száma nem változhat.
5.17.2017 11:54:00;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben., d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;;a) … pontosan 30 átmenetet tartalmaz.;b) A folyamat nem tartalmaz elágazást., c) A folyamat nem tartalmaz ciklust., d) A folyamat nem tartalmaz fork-join párt.;a) …minden while blokknak egy ciklus felel meg.;d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 11:57:25;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben., d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;a) …S \ S' biztosan kizárólagos;a) … pontosan 140 átmenetet tartalmaz.;;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 12:14:22;0;a) …mindig nő az állapotok száma., d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete.;c) …ha S' is egy állapottér, akkor S \ S' = ?.;a) … pontosan 140 átmenetet tartalmaz.;;a) …minden while blokknak egy ciklus felel meg., c) …az egymás utáni tevékenységek között mindig adatfüggőség van., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 12:38:49;0;c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben., d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;a) …S \ S' biztosan kizárólagos, c) …ha S' is egy állapottér, akkor S \ S' = ?.;a) … pontosan 140 átmenetet tartalmaz.;;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 12:42:01;0;a) …mindig nő az állapotok száma., c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben.;b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával.;c) …ha S' is egy állapottér, akkor S \ S' = ?.;a) … pontosan 140 átmenetet tartalmaz.;a) A folyamat determinisztikus.;a) …minden while blokknak egy ciklus felel meg.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;a) Minden irányítatlan gráf ábrázolható irányított gráffal., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
5.17.2017 12:50:11;0;;;;;;;;;
5.17.2017 12:55:07;0;a) …mindig nő az állapotok száma., c) …a finomabb modell minden elérhető állapotához pontosan egy elérhető állapot tartozik az absztrakt modellben., d) …az absztrakt modell minden elérhető állapotához tartozik legalább egy elérhető ál-lapot a finomított modellben.;a) …van kezdőállapota, valamint csak egyféle inputja van, és minden állapotnak van ezzel címkézett kimenő átmenete., b) …van kezdőállapota, és minden lehetséges inputja legalább egy állapotátmeneten szerepel., c) …egy teljesen specifikált állapotgép absztrakciója két állapot összevonásával., a) …egy teljesen specifikált állapotgép finomítása egy állapot kettéválasztásával.;;a) … pontosan 160 átmenetet tartalmaz.;;a) …minden while blokknak egy ciklus felel meg., d) …a jólstrukturáltság sérülhet, pl. goto utasítás esetén.;d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;c) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., d) Az objektum-orientált programozásban használt objektumoknak megfeleltethető egy típusgráf csomópontja.;d) Vetítés során a táblázat jellemzőinek száma csökkenhet.
